date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Derby,E06000015,261364,40901,827,1416,12631,21034,4993,10482,6110,3056,1316,9562,2412,924,4178,2048,192871,173077,1982,408,1163,16241,7548,1032,6516
2021,Leicester,E06000016,368571,159977,7055,2481,126421,12673,11347,28766,21536,4466,2764,13899,3659,1776,5025,3439,150657,122395,1789,457,839,25177,15272,3402,11870
2021,Rutland,E06000017,41050,634,19,149,236,60,170,552,251,213,88,744,249,93,236,166,38909,37372,265,86,18,1168,211,13,198
2021,Nottingham,E06000018,323635,48217,2223,4263,11515,21684,8532,32215,18740,9339,4136,19063,3363,2129,10129,3442,213430,185580,2360,269,1130,24091,10710,3673,7037
2021,"Herefordshire, County of",E06000019,187032,2218,55,339,843,139,842,567,340,150,77,1980,689,280,473,538,181248,170419,727,431,161,9510,1019,224,795
2021,Telford and Wrekin,E06000020,185543,10067,207,818,4559,3368,1115,5351,3962,748,641,4844,1315,676,2083,770,163638,153936,723,203,187,8589,1643,242,1401
2021,Stoke-on-Trent,E06000021,258369,25597,1577,1073,2772,15579,4596,6884,5048,916,920,5860,1783,1020,2040,1017,215699,202906,572,295,428,11498,4329,690,3639
2021,Bath and North East Somerset,E06000022,193409,6389,359,2089,1787,278,1876,1846,980,616,250,5256,1846,595,1505,1310,178308,165478,1427,71,218,11114,1610,552,1058
2021,"Bristol, City of",E06000023,472467,31269,2616,5466,8302,9064,5821,27890,18149,6803,2938,21116,5556,2621,7714,5225,383142,338452,4288,273,966,39163,9050,2540,6510
2021,North Somerset,E06000024,216729,3322,433,725,1067,148,949,1139,733,251,155,3635,1191,497,1007,940,207429,195915,1210,187,169,9948,1204,247,957
